"kernel","gsize","device","input_bytes","output_bytes","samples","device_mean","device_median","device_var","hostcode_mean","hostcode_median","hostcode_var","transfer_mean","transfer_median","transfer_var","machine"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","11000","CPU","88000","44000","200","0.02349739","0.0202275","0.0001387044959779","0.5254685878753662","0.0770092010498046","38.74635986814923","0.5019711978753661","0.0578569453125","38.71809224847092","dungani"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","13000","CPU","104000","52000","200","0.02337867","0.020987","6.69773219611e-05","0.4533398151397705","0.0772476196289062","27.716303690509392","0.4299611451397705","0.0559245617065429","27.692472490383157","dungani"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","15000","CPU","120000","60000","200","0.0246390599999999","0.0227969999999999","5.46608090164e-05","0.0833106040954589","0.0779628753662109","0.0034380886461349","0.0586715440954589","0.0546065731811523","0.0032944277840468","dungani"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","17000","CPU","136000","68000","200","0.031353245","0.0247119999999999","0.0001928676971649","13.452625274658203","0.0805854797363281","35506.731184472075","13.421272029658205","0.0562935147094726","35506.34142448568","dungani"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","19000","CPU","152000","76000","200","0.02799086","0.0258895","5.324813851039999e-05","0.729222297668457","0.0803470611572265","83.6641351715798","0.7012314376684571","0.0542137239990234","83.63670974818129","dungani"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","1000","CPU","4000","4000","200","0.006104065","0.0032215","5.4949705760775e-05","0.8293032646179199","0.0586509704589843","115.54724051947574","0.82319919961792","0.0551221333007812","115.52941624690422","dungani"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","3000","CPU","12000","12000","200","0.0083167049999999","0.0050215","8.2607392597975e-05","0.6503450870513916","0.0600814819335937","68.79322791632916","0.6420283820513916","0.0537417611694335","68.7751464799878","dungani"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","5000","CPU","20000","20000","200","0.011489835","0.0067135","0.0001119071531377","0.6181073188781738","0.0655651092529296","59.73677656749601","0.6066174838781738","0.0571645513305664","59.71925441485165","dungani"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","7000","CPU","28000","28000","200","0.0109469399999999","0.008172","5.45760783964e-05","0.6541633605957031","0.0650882720947265","68.41858352586314","0.643216420595703","0.0560200977783203","68.40312572851767","dungani"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","9000","CPU","36000","36000","200","0.0121340199999999","0.0095799999999999","6.679966659959999e-05","0.6956326961517334","0.0650882720947265","78.38856950411213","0.6834986761517334","0.0548843070678711","78.37169970392755","dungani"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","11000","CPU","44000","44000","200","0.0148123199999999","0.011505","6.41100474876e-05","0.543980598449707","0.0681877136230468","44.56916095850829","0.529168278449707","0.0551324928588867","44.56028312761083","dungani"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","13000","CPU","52000","52000","200","0.01604751","0.0132345","4.93943808599e-05","0.5910694599151611","0.0700950622558593","53.87824900875415","0.5750219499151611","0.0550603414916992","53.84919447895057","dungani"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","15000","CPU","60000","60000","200","0.01867044","0.0155535","5.310221080639999e-05","0.0776588916778564","0.0720024108886718","0.0023827737649639","0.0589884516778564","0.0552137119750976","0.0023510643855756","dungani"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","17000","CPU","68000","68000","200","0.0217862","0.0178575","6.980179935999999e-05","0.5465412139892578","0.0742673873901367","43.923899293668","0.5247550139892578","0.0548608759155273","43.9172087351344","dungani"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","19000","CPU","76000","76000","200","0.021738135","0.019989","4.130160284677499e-05","0.6691288948059082","0.0756978988647461","69.69052156700286","0.6473907598059082","0.0552526431274414","69.68552954112947","dungani"
"npb-3.3-BT-compute_rhs1","1000","CPU","8012","48000","200","0.00890731","0.0025025","0.0001549502966039","0.5973505973815918","0.0646114349365234","54.81217318726408","0.5884432873815918","0.0606214349365234","54.80532697981708","dungani"
"npb-3.3-BT-compute_rhs1","3000","CPU","24012","144000","200","0.0114578699999999","0.002845","0.000319195226303","0.4723358154296875","0.066995620727539","31.761588561244025","0.4608779454296875","0.0596294551391601","31.753878643375234","dungani"
"npb-3.3-BT-compute_rhs1","5000","CPU","40012","240000","200","0.00863821","0.002513","0.0001111598063758","0.3922951221466064","0.0677108764648437","20.32805832931075","0.3836569121466064","0.0626484114379882","20.32199616442967","dungani"
"npb-3.3-BT-compute_rhs1","7000","CPU","56012","336000","200","0.008926145","0.0024209999999999","0.0001289808143939","0.0744271278381347","0.0674724578857421","0.0020943304605225","0.0655009828381347","0.0630118999633789","0.0018726909739798","dungani"
"npb-3.3-BT-compute_rhs1","9000","CPU","72012","432000","200","0.00948404","0.00229","0.0001614686528983","0.3976356983184814","0.0658035278320312","21.1919150482899","0.3881516583184815","0.0615195857543945","21.18621208589641","dungani"
"npb-3.3-BT-compute_rhs1","11000","CPU","88012","528000","200","0.0103676899999999","0.002483","0.0001523995244839","0.413365364074707","0.0679492950439453","22.97866987485122","0.402997674074707","0.0620934349365234","22.97330352001894","dungani"
"npb-3.3-BT-compute_rhs1","13000","CPU","104012","624000","200","0.01005845","0.002427","0.0001481624221975","0.3851377964019775","0.066995620727539","19.45759036839121","0.3750793464019775","0.0611783420410156","19.453234427962613","dungani"
"npb-3.3-BT-compute_rhs1","15000","CPU","120012","720000","200","0.010380495","0.0023699999999999","0.0001811013276299","0.0752604007720947","0.0660419464111328","0.0026500329553869","0.0648799057720947","0.0610728420410156","0.0024148168697702","dungani"
"npb-3.3-BT-compute_rhs1","17000","CPU","136012","816000","200","0.011392745","0.00244","0.0002120882783799","0.4507601261138916","0.0671148300170898","28.44027345442868","0.4393673811138916","0.0604695365600585","28.433644449133784","dungani"
"npb-3.3-BT-compute_rhs1","19000","CPU","152012","912000","200","0.0114367699999999","0.0023565","0.000226447693597","0.3898763656616211","0.0672340393066406","19.93892816883545","0.3784395956616211","0.0606024218139648","19.9346460637776","dungani"
"npb-3.3-CG-conj_grad_0","1000","CPU","8000","32000","200","0.0067709549999999","0.003491","6.143522062297499e-05","0.4913735389709472","0.0588893890380859","36.86979054345443","0.4846025839709472","0.0541632961425781","36.861491608688205","dungani"
"npb-3.3-CG-conj_grad_0","3000","CPU","24000","96000","200","0.009135915","0.005214","0.0001109227131177","0.3955423831939697","0.06103515625","21.559217709317124","0.3864064681939697","0.0555621562499999","21.545330644279648","dungani"
"npb-3.3-CG-conj_grad_0","5000","CPU","40000","160000","200","0.011603265","0.0061309999999999","0.0001355497533947","0.3792595863342285","0.0650882720947265","19.03903443048307","0.3676563213342285","0.0581655977783203","19.033299897010952","dungani"
"npb-3.3-CG-conj_grad_0","7000","CPU","56000","224000","200","0.009156135","0.007081","3.4830997956775e-05","0.3359794616699219","0.0655651092529296","14.403346057179078","0.3268233266699218","0.0579262950439453","14.395824254634022","dungani"
"npb-3.3-CG-conj_grad_0","9000","CPU","72000","288000","200","0.01182298","0.0083985","7.563104186959999e-05","0.505598783493042","0.0653266906738281","38.067234245419","0.493775803493042","0.0562541442260742","38.05676488565062","dungani"
"npb-3.3-CG-conj_grad_0","11000","CPU","88000","352000","200","0.011459865","0.0095594999999999","3.303305350677499e-05","0.334169864654541","0.065922737121582","14.162964262590094","0.322709999654541","0.0561268999633789","14.156713852818594","dungani"
"npb-3.3-CG-conj_grad_0","13000","CPU","104000","416000","200","0.01519767","0.0107975","8.182391172109999e-05","0.3426313400268554","0.0683069229125976","14.484000884067427","0.3274336700268555","0.0561974114379882","14.478515254319136","dungani"
"npb-3.3-CG-conj_grad_0","15000","CPU","120000","480000","200","0.014009975","0.011694","4.4148381874375e-05","0.0733411312103271","0.0678300857543945","0.0023089578903068","0.0593311562103271","0.0554468300170898","0.002270240947982","dungani"
"npb-3.3-CG-conj_grad_0","17000","CPU","136000","544000","200","0.015342515","0.0131019999999999","3.3535108469774995e-05","0.3221356868743896","0.0700950622558593","12.506524111971371","0.3067931718743896","0.0554352824707031","12.50127346404949","dungani"
"npb-3.3-CG-conj_grad_0","19000","CPU","152000","608000","200","0.018358555","0.0147039999999999","6.7542246066975e-05","0.3475880622863769","0.0715255737304687","14.880674435056562","0.3292295072863769","0.0553264808349609","14.87584790975719","dungani"
"npb-3.3-CG-makea_7","1000","CPU","8008","4000","200","0.00811507","0.0038069999999999","0.000106659995855","0.3728806972503662","0.0623464584350585","18.85600072309757","0.3647656272503662","0.0561551912231445","18.84297937033529","dungani"
"npb-3.3-CG-makea_7","3000","CPU","24008","12000","200","0.0102320249999999","0.0066999999999999","8.1079092724375e-05","0.4578351974487304","0.0689029693603515","28.117764114199417","0.4476031724487304","0.0626503764648437","28.09931343363309","dungani"
"npb-3.3-CG-makea_7","5000","CPU","40008","20000","200","0.0114871149999999","0.0075775","9.4782799081775e-05","0.4133796691894531","0.0712871551513671","22.721989962201405","0.4018925541894531","0.0629195158081054","22.714457951528484","dungani"
"npb-3.3-CG-makea_7","7000","CPU","56008","28000","200","0.01241511","0.0080994999999999","6.47939769679e-05","0.3911983966827392","0.0703334808349609","20.1469900848096","0.3787832866827392","0.0603153764648437","20.130996821069985","dungani"
"npb-3.3-CG-makea_7","9000","CPU","72008","36000","200","0.016461085","0.009941","0.0001733227962177","0.5331230163574219","0.0717639923095703","41.415966936347104","0.5166619313574219","0.0598875037841796","41.38470941353548","dungani"
"npb-3.3-CG-makea_7","11000","CPU","88008","44000","200","0.01666378","0.0116465","0.0001210974912415","0.5514049530029297","0.0731945037841796","43.71861856739088","0.5347411730029297","0.0623714573364257","43.70071274194224","dungani"
"npb-3.3-CG-makea_7","13000","CPU","104008","52000","200","0.0158716949999999","0.0117435","7.869323013197499e-05","0.4093706607818603","0.0740289688110351","21.966040027017183","0.3934989657818603","0.0602619223632812","21.956774147256127","dungani"
"npb-3.3-CG-makea_7","15000","CPU","120008","60000","200","0.018440935","0.013391","0.0001067324691507","0.0817275047302246","0.0752210617065429","0.00287008992359","0.0632865697302246","0.0591875720825195","0.0028167360607296","dungani"
"npb-3.3-CG-makea_7","17000","CPU","136008","68000","200","0.01962628","0.014863","0.0001227068946416","0.4445183277130127","0.0767707824707031","26.400747394573894","0.4248920477130126","0.0599196196289062","26.372672912134902","dungani"
"npb-3.3-CG-makea_7","19000","CPU","152008","76000","200","0.02330382","0.018371","0.0001565825045075","0.4643583297729492","0.0789165496826171","28.79305200192448","0.4410545097729492","0.0599192824707031","28.768269006821445","dungani"
"npb-3.3-LU-l2norm","1000","CPU","16020","16000","200","6.735727545","0.0378255","321.5580994949849","7.723284959793091","0.2158880233764648","477.12156323865287","0.9875574147930912","0.1251234797363287","143.85985648086202","dungani"
"npb-3.3-LU-pintgr_reduce","1000","CPU","24016","16000","200","0.163765165","0.0119945","0.1483673107567777","10.908856391906738","0.131845474243164","22519.26218733368","10.745091226906736","0.0967172518310546","22522.050411025117","dungani"
"npb-3.3-SP-compute_rhs1","1000","CPU","8012","56000","200","0.01049577","0.0026305","0.000215582148377","0.4213261604309082","0.0647306442260742","23.668835639290364","0.4108303904309082","0.0599614584350585","23.651846981233884","dungani"
"npb-3.3-SP-compute_rhs1","3000","CPU","24012","168000","200","0.008027945","0.002517","0.0001108745470919","0.4113280773162842","0.0654458999633789","23.506201665655624","0.4033001323162842","0.0602320863037109","23.500138830336702","dungani"
"npb-3.3-SP-compute_rhs1","5000","CPU","40012","280000","200","0.00846342","0.0024584999999999","0.0001130873080336","0.4025089740753174","0.0675916671752929","21.668927491587908","0.3940455540753174","0.0630504578857421","21.661501639440385","dungani"
"npb-3.3-SP-compute_rhs1","7000","CPU","56012","392000","200","0.010829205","0.002687","0.0002024036624029","0.4977428913116455","0.0703334808349609","35.15451506108178","0.4869136863116455","0.0642719928588867","35.14752951538259","dungani"
"npb-3.3-SP-compute_rhs1","9000","CPU","72012","504000","200","0.011796385","0.0023325","0.0002641308357267","0.4062569141387939","0.0665187835693359","22.127954607286423","0.3944605291387939","0.0605260032348632","22.11814160691589","dungani"
"npb-3.3-SP-compute_rhs1","11000","CPU","88012","616000","200","0.011216745","0.0024865","0.0002244615814599","0.4960858821868896","0.0704526901245117","35.02752930983064","0.4848691371868896","0.0634533742675781","35.02373816854334","dungani"
"npb-3.3-SP-compute_rhs1","13000","CPU","104012","728000","200","0.01175214","0.0024435","0.0002539619368904","0.4592823982238769","0.0677108764648437","29.47031249636325","0.447530258223877","0.062443353515625","29.453815263783387","dungani"
"npb-3.3-SP-compute_rhs1","15000","CPU","120012","840000","200","0.012799195","0.0024375","0.0002967845515069","0.078812837600708","0.0683069229125976","0.002668643092818","0.066013642600708","0.0616209901123046","0.0024122397305137","dungani"
"npb-3.3-SP-compute_rhs1","17000","CPU","136012","952000","200","0.014072455","0.0024479999999999","0.0004025492614879","0.5405604839324951","0.0683069229125976","42.50347613602656","0.5264880289324951","0.062228817993164","42.48420024061172","dungani"
"npb-3.3-SP-compute_rhs1","19000","CPU","152012","1064000","200","0.01271802","0.0024184999999999","0.0003616851974596","0.448760986328125","0.0665187835693359","27.830161433394096","0.436042966328125","0.060835923461914","27.817616590428504","dungani"
"npb-3.3-SP-rhs_norm","1000","CPU","16012","16000","200","24.584929255","0.0138539999999999","8024.250654244038","25.662899017333984","0.0942945480346679","8168.817292772132","1.0779697623339857","0.0789372114257812","190.62703500055937","dungani"
"nvidia-4.2-DotProduct-DotProduct","1000","CPU","8004","4000","200","0.01038297","0.0053325","0.000111106931099","0.4586756229400635","0.0661611557006836","29.83097328606021","0.4482926529400635","0.0595621677246093","29.809903639529114","dungani"
"nvidia-4.2-DotProduct-DotProduct","3000","CPU","24004","12000","200","0.015473345","0.00625","0.0001953130372859","0.3912723064422607","0.0672340393066406","20.106539466370062","0.3757989614422607","0.0579981327514648","20.095807603656464","dungani"
"nvidia-4.2-DotProduct-DotProduct","5000","CPU","40004","20000","200","0.023273435","0.014924","0.0004609352161357","0.4250431060791015","0.0791549682617187","21.860012465276668","0.4017696710791015","0.0627504447631835","21.850192498639046","dungani"
"nvidia-4.2-DotProduct-DotProduct","7000","CPU","56004","28000","200","0.0161781649999999","0.0110555","0.0001198873407577","0.0796389579772949","0.0718832015991211","0.0018626746566496","0.0634607929772949","0.0606379917602539","0.0016970344748196","dungani"
"nvidia-4.2-DotProduct-DotProduct","9000","CPU","72004","36000","200","0.0180156099999999","0.0127465","0.0001559619399779","0.4131436347961426","0.0762939453125","21.87400374495496","0.3951280247961426","0.0609503414916992","21.870447064322303","dungani"
"nvidia-4.2-DotProduct-DotProduct","11000","CPU","88004","44000","200","0.022085175","0.0151539999999999","0.0003153037579043","0.4615068435668945","0.0764131546020507","28.607833919522815","0.4394216685668945","0.0600485387573242","28.604643706311755","dungani"
"nvidia-4.2-DotProduct-DotProduct","13000","CPU","104004","52000","200","0.0217227199999999","0.0162485","0.0001917726303015","0.4037296772003174","0.0804662704467773","20.19673974653955","0.3820069572003173","0.0609575239868164","20.194429977511355","dungani"
"nvidia-4.2-DotProduct-DotProduct","15000","CPU","120004","60000","200","0.022580685","0.0177065","0.0001713223148457","0.0855135917663574","0.0796318054199218","0.0024141849678471","0.0629329067663574","0.0589733529663085","0.0022664818157501","dungani"
"nvidia-4.2-DotProduct-DotProduct","17000","CPU","136004","68000","200","0.0283022099999999","0.0234699999999999","0.0002744521521858","0.4011297225952148","0.0859498977661132","19.26852803071597","0.3728275125952148","0.0607083518676757","19.25693141007591","dungani"
"nvidia-4.2-MatVecMul-MatVecMulCoalesced0","1000","CPU","12008","8000","200","0.5478056299999999","0.468184","0.174896568788243","1.590681076049805","0.5606412887573242","175.42726853093882","1.0428754460498046","0.1003206650390625","174.9674910593709","dungani"
"nvidia-4.2-MatVecMul-MatVecMulCoalesced1","1000","CPU","12008","8000","200","0.766896275","0.6911324999999999","0.2345691360160193","1.8452036380767824","0.7758140563964844","186.54777469441652","1.078307363076782","0.10133803515625","185.36164160780865","dungani"
"nvidia-4.2-MatVecMul-MatVecMulCoalesced2","1000","CPU","12008","8000","200","0.54016458","0.4729854999999999","0.1265405563237835","1.4814937114715576","0.5469322204589844","147.0638638663658","0.9413291314715576","0.0801290331420898","146.23213148490746","dungani"
"nvidia-4.2-MatVecMul-MatVecMulCoalesced3","1000","CPU","12008","8000","200","0.579502505","0.4746359999999999","0.1554796372007699","1.6055119037628174","0.5605220794677734","173.9739125846981","1.0260093987628174","0.0860463385620117","173.35250214725357","dungani"
"nvidia-4.2-MatVecMul-MatVecMulUncoalesced0","1000","CPU","8008","4000","200","0.742514315","0.5737114999999999","0.4484732090382557","1.482185125350952","0.6628036499023438","83.06070876840153","0.7396708103509522","0.0850411569213867","82.74851328468958","dungani"
"nvidia-4.2-MatVecMul-MatVecMulUncoalesced1","1000","CPU","8008","4000","200","0.4898249249999999","0.4145704999999999","0.1458447746539893","0.8774077892303467","0.4793405532836914","19.601821488309668","0.3875828642303466","0.0676635472412109","19.48496245738417","dungani"
"nvidia-4.2-MatrixMul-matrixMul","1000","CPU","16012","12000","200","0.195433585","0.028073","0.0760924680892227","1.9436609745025637","0.1263618469238281","544.8574582557044","1.7482273895025635","0.0874833928222656","545.3274475715083","dungani"
"nvidia-4.2-VectorAdd-VectorAdd","1000","CPU","8004","4000","200","0.005905955","0.003012","5.0959339832975e-05","0.5547940731048584","0.0646114349365234","47.1665487085815","0.5488881181048584","0.0598960048828125","47.13602285443148","dungani"
"nvidia-4.2-VectorAdd-VectorAdd","3000","CPU","24004","12000","200","0.0077395599999999","0.004324","7.53548970464e-05","0.4194080829620361","0.0650882720947265","24.221765971184084","0.4116685229620361","0.059994807067871","24.21021233472047","dungani"
"nvidia-4.2-VectorAdd-VectorAdd","5000","CPU","40004","20000","200","0.00896233","0.00552","7.213087123109999e-05","0.4650914669036865","0.0677108764648437","31.03104581923475","0.4561291369036865","0.0610313649902343","31.011749537378883","dungani"
"nvidia-4.2-VectorAdd-VectorAdd","7000","CPU","56004","28000","200","0.0122404","0.0063925","0.00012096993832","0.4237473011016845","0.0689029693603515","24.198454031498784","0.4115069011016845","0.060998620727539","24.187623274778755","dungani"
"nvidia-4.2-VectorAdd-VectorAdd","9000","CPU","72004","36000","200","0.00982637","0.00703","5.65288645331e-05","0.4295301437377929","0.0677108764648437","25.83083956287737","0.419703773737793","0.0596133649902343","25.816181268021264","dungani"
"nvidia-4.2-VectorAdd-VectorAdd","11000","CPU","88004","44000","200","0.01043175","0.0075595","6.04270250375e-05","0.4058170318603515","0.0700950622558593","22.146658782025952","0.3953852818603515","0.0614584693603515","22.13556905692086","dungani"
"nvidia-4.2-VectorAdd-VectorAdd","13000","CPU","104004","52000","200","0.010394485","0.008621","3.6641846139775e-05","0.5305600166320801","0.0703334808349609","41.7828078315722","0.5201655316320801","0.0613634808349609","41.75695634685911","dungani"
