"kernel","gsize","device","input_bytes","output_bytes","device_mean","transfer_mean","machine","hostcode_mean","devicetransfer","#device"
"npb-3.3-BT-compute_rhs6","11000","NvidiaA100","88012","88000","0.00799744","0.1201263202233886","epyc7","0.1281237602233886","0.1281237602233886","1"
"npb-3.3-BT-compute_rhs6","13000","NvidiaA100","104012","104000","0.00888832","0.1454590997387695","epyc7","0.1543474197387695","0.1543474197387695","1"
"npb-3.3-BT-compute_rhs6","15000","NvidiaA100","120012","120000","0.0077567999999999","0.1284123951751709","epyc7","0.1361691951751709","0.1361691951751708","1"
"npb-3.3-BT-compute_rhs6","17000","NvidiaA100","136012","136000","0.0062464","0.1248647450195312","epyc7","0.1311111450195312","0.1311111450195312","1"
"npb-3.3-BT-compute_rhs6","19000","NvidiaA100","152012","152000","0.00635904","0.125786841652832","epyc7","0.132145881652832","0.132145881652832","1"
"npb-3.3-BT-exact_rhs5","1000","NvidiaA100","8012","8000","0.0077312","0.1145381920135498","epyc7","0.1222693920135498","0.1222693920135497","1"
"npb-3.3-BT-exact_rhs5","3000","NvidiaA100","24012","24000","0.00774144","0.1149726026635742","epyc7","0.1227140426635742","0.1227140426635742","1"
"npb-3.3-BT-exact_rhs5","5000","NvidiaA100","40012","40000","0.0079104","0.1171067661376953","epyc7","0.1250171661376953","0.1250171661376953","1"
"npb-3.3-BT-exact_rhs5","7000","NvidiaA100","56012","56000","0.00777216","0.1181438441809082","epyc7","0.1259160041809082","0.1259160041809082","1"
"npb-3.3-BT-exact_rhs5","9000","NvidiaA100","72012","72000","0.00968704","0.1469468139123535","epyc7","0.1566338539123535","0.1566338539123535","1"
"npb-3.3-BT-exact_rhs5","11000","NvidiaA100","88012","88000","0.00802304","0.1201066806878662","epyc7","0.1281297206878662","0.1281297206878662","1"
"npb-3.3-BT-exact_rhs5","13000","NvidiaA100","104012","104000","0.0086016","0.1201646982940673","epyc7","0.1287662982940673","0.1287662982940673","1"
"npb-3.3-BT-exact_rhs5","15000","NvidiaA100","120012","120000","0.0073728","0.1353445614501953","epyc7","0.1427173614501953","0.1427173614501953","1"
"npb-3.3-BT-exact_rhs5","17000","NvidiaA100","136012","136000","0.00727552","0.1336262839703369","epyc7","0.1409018039703369","0.1409018039703369","1"
"npb-3.3-BT-exact_rhs5","19000","NvidiaA100","152012","152000","0.00674816","0.1259270108984375","epyc7","0.1326751708984375","0.1326751708984375","1"
"npb-3.3-BT-x_solve1","1000","NvidiaA100","32012","16000","0.0105215999999999","0.1964078452667236","epyc7","0.2069294452667236","0.2069294452667235","1"
"npb-3.3-BT-x_solve1","3000","NvidiaA100","96012","48000","0.01109504","0.1755449841851806","epyc7","0.1866400241851806","0.1866400241851806","1"
"npb-3.3-BT-x_solve1","5000","NvidiaA100","160012","80000","0.01055232","0.1842654614483642","epyc7","0.1948177814483642","0.1948177814483642","1"
"npb-3.3-BT-x_solve1","7000","NvidiaA100","224012","112000","0.0107264","0.2043378871856689","epyc7","0.2150642871856689","0.2150642871856689","1"
"npb-3.3-BT-x_solve1","9000","NvidiaA100","288012","144000","0.01185792","0.2152155110150146","epyc7","0.2270734310150146","0.2270734310150146","1"
"npb-3.3-BT-x_solve3","1000","NvidiaA100","16012","8000","0.01532416","0.1420273338354492","epyc7","0.1573514938354492","0.1573514938354492","1"
"npb-3.3-BT-x_solve3","3000","NvidiaA100","48012","24000","0.0117913599999999","0.1383789662329101","epyc7","0.1501703262329101","0.15017032623291","1"
"npb-3.3-BT-y_solve1","1000","NvidiaA100","32012","16000","0.00910848","0.1646319069628906","epyc7","0.1737403869628906","0.1737403869628906","1"
"npb-3.3-BT-y_solve1","3000","NvidiaA100","96012","48000","0.01123328","0.1755569478900146","epyc7","0.1867902278900146","0.1867902278900146","1"
"npb-3.3-BT-y_solve3","1000","NvidiaA100","16012","8000","0.01345024","0.1368726741235351","epyc7","0.1503229141235351","0.1503229141235351","1"
"npb-3.3-BT-y_solve3","3000","NvidiaA100","48012","24000","0.01448448","0.1459879130358886","epyc7","0.1604723930358886","0.1604723930358886","1"
"npb-3.3-BT-z_solve3","1000","NvidiaA100","16012","8000","0.01383936","0.1379736702429199","epyc7","0.1518130302429199","0.1518130302429199","1"
"npb-3.3-BT-z_solve3","3000","NvidiaA100","48012","24000","0.01337344","0.1441318338189697","epyc7","0.1575052738189697","0.1575052738189697","1"
"npb-3.3-CG-conj_grad_0","1000","NvidiaA100","8000","32000","0.00886272","0.1639609475262451","epyc7","0.1728236675262451","0.1728236675262451","1"
"npb-3.3-CG-conj_grad_0","3000","NvidiaA100","24000","96000","0.0079104","0.1551965183349609","epyc7","0.1631069183349609","0.1631069183349609","1"
"npb-3.3-CG-conj_grad_0","5000","NvidiaA100","40000","160000","0.00754688","0.1609065749713134","epyc7","0.1684534549713134","0.1684534549713134","1"
"npb-3.3-CG-conj_grad_0","7000","NvidiaA100","56000","224000","0.00760832","0.1686783773876953","epyc7","0.1762866973876953","0.1762866973876953","1"
"npb-3.3-CG-conj_grad_0","9000","NvidiaA100","72000","288000","0.0093184","0.1924981588378906","epyc7","0.2018165588378906","0.2018165588378906","1"
"npb-3.3-CG-conj_grad_0","11000","NvidiaA100","88000","352000","0.0084736","0.1959178794921875","epyc7","0.2043914794921875","0.2043914794921875","1"
"npb-3.3-CG-conj_grad_0","13000","NvidiaA100","104000","416000","0.00856576","0.2047473427221679","epyc7","0.2133131027221679","0.2133131027221679","1"
"npb-3.3-CG-conj_grad_0","15000","NvidiaA100","120000","480000","0.00973824","0.2265834476983642","epyc7","0.2363216876983642","0.2363216876983642","1"
